,12_1,12_2,13_1,13_3,14_1,14_4,15_1,15_5,23_2,23_3,24_2,24_4,25_2,25_5,34_3,34_4,35_3,35_5,45_4,45_5
623,307,,499,,,,,,1755,90.0,,,,,,,,,,
624,1949,,2018,,,,,,1758,1201.0,,,,,,,,,,
625,1974,,55,,,,,,1760,1552.0,,,,,,,,,,
626,1905,,407,,,,,,1764,1769.0,,,,,,,,,,
627,364,,1244,,,,,,1778,68.0,,,,,,,,,,
628,918,,1969,,,,,,1780,982.0,,,,,,,,,,
629,912,,697,,,,,,1782,1305.0,,,,,,,,,,
630,1603,,1258,,,,,,1785,1678.0,,,,,,,,,,
631,1889,,115,,,,,,1788,2045.0,,,,,,,,,,
632,141,,1633,,,,,,1793,1637.0,,,,,,,,,,
633,2033,,1857,,,,,,1796,1179.0,,,,,,,,,,
634,1880,,1335,,,,,,1798,1113.0,,,,,,,,,,
635,468,,485,,,,,,1803,1889.0,,,,,,,,,,
636,541,,321,,,,,,1806,1894.0,,,,,,,,,,
637,98,,626,,,,,,1814,1738.0,,,,,,,,,,
638,2095,,1602,,,,,,1815,1164.0,,,,,,,,,,
639,735,,809,,,,,,1817,1236.0,,,,,,,,,,
640,982,,180,,,,,,1821,2010.0,,,,,,,,,,
641,1585,,1049,,,,,,1822,1329.0,,,,,,,,,,
642,1160,,1873,,,,,,1824,1378.0,,,,,,,,,,
643,458,,1542,,,,,,1826,436.0,,,,,,,,,,
644,1577,,1665,,,,,,1828,2022.0,,,,,,,,,,
645,1186,,636,,,,,,1831,1972.0,,,,,,,,,,
646,1627,,1121,,,,,,1836,92.0,,,,,,,,,,
647,97,,1960,,,,,,1842,1139.0,,,,,,,,,,
648,1273,,1694,,,,,,1844,1403.0,,,,,,,,,,
649,1853,,1496,,,,,,1845,478.0,,,,,,,,,,
650,1179,,238,,,,,,1854,1248.0,,,,,,,,,,
651,1429,,225,,,,,,1856,770.0,,,,,,,,,,
652,519,,717,,,,,,1857,1700.0,,,,,,,,,,
653,2126,,731,,,,,,1863,931.0,,,,,,,,,,
654,1148,,1814,,,,,,1870,950.0,,,,,,,,,,
655,4,,823,,,,,,1871,51.0,,,,,,,,,,
656,184,,83,,,,,,1872,1078.0,,,,,,,,,,
657,1493,,851,,,,,,1873,2027.0,,,,,,,,,,
658,57,,1710,,,,,,1877,1261.0,,,,,,,,,,
659,1207,,534,,,,,,1883,422.0,,,,,,,,,,
660,647,,1421,,,,,,1886,501.0,,,,,,,,,,
