,12_1,12_2,13_1,13_3,14_1,14_4,15_1,15_5,23_2,23_3,24_2,24_4,25_2,25_5,34_3,34_4,35_3,35_5,45_4,45_5
82,539,256.0,539,895.0,1532.0,360.0,,,771,1565.0,1532.0,1620.0,,,1532.0,975.0,,,,
83,544,779.0,544,1988.0,1537.0,396.0,,,820,1048.0,1537.0,1459.0,,,1537.0,1749.0,,,,
84,549,556.0,549,904.0,1591.0,96.0,,,833,1993.0,1591.0,1830.0,,,1591.0,1464.0,,,,
85,550,1559.0,550,1286.0,1621.0,299.0,,,844,526.0,1621.0,1770.0,,,1621.0,1651.0,,,,
86,555,1912.0,555,1785.0,1653.0,868.0,,,853,1216.0,1653.0,1389.0,,,1653.0,1756.0,,,,
87,574,1952.0,574,657.0,1658.0,1289.0,,,860,1086.0,1658.0,692.0,,,1658.0,791.0,,,,
88,577,1769.0,577,1272.0,1666.0,2015.0,,,861,2000.0,1666.0,1457.0,,,1666.0,1072.0,,,,
89,578,1245.0,578,1384.0,1674.0,1120.0,,,866,825.0,1674.0,573.0,,,1674.0,1040.0,,,,
90,583,926.0,583,1456.0,1684.0,1372.0,,,905,1125.0,1684.0,54.0,,,1684.0,1074.0,,,,
91,593,229.0,593,1369.0,1688.0,431.0,,,911,867.0,1688.0,2003.0,,,1688.0,1066.0,,,,
92,596,1804.0,596,800.0,1713.0,1776.0,,,917,998.0,1713.0,570.0,,,1713.0,1546.0,,,,
93,604,356.0,604,116.0,1717.0,1622.0,,,937,882.0,1717.0,1144.0,,,1717.0,1691.0,,,,
94,617,51.0,617,379.0,1727.0,1035.0,,,938,1333.0,1727.0,1328.0,,,1727.0,1644.0,,,,
95,630,621.0,630,180.0,1737.0,1715.0,,,943,1351.0,1737.0,1122.0,,,1737.0,1760.0,,,,
96,649,178.0,649,1732.0,1751.0,1194.0,,,947,1159.0,1751.0,890.0,,,1751.0,1531.0,,,,
97,655,916.0,655,2098.0,1765.0,742.0,,,949,380.0,1765.0,1913.0,,,1765.0,771.0,,,,
98,662,1452.0,662,529.0,1772.0,2019.0,,,966,872.0,1772.0,954.0,,,1772.0,505.0,,,,
99,666,1209.0,666,383.0,1813.0,267.0,,,968,1016.0,1813.0,1313.0,,,1813.0,150.0,,,,
100,681,839.0,681,463.0,1823.0,2071.0,,,971,922.0,1823.0,88.0,,,1823.0,1079.0,,,,
101,693,767.0,693,1461.0,1852.0,1766.0,,,973,1448.0,1852.0,1565.0,,,1852.0,384.0,,,,
102,704,1641.0,704,793.0,1874.0,421.0,,,975,668.0,1874.0,1303.0,,,1874.0,1977.0,,,,
103,709,419.0,709,1423.0,1898.0,855.0,,,984,986.0,1898.0,753.0,,,1898.0,1983.0,,,,
104,718,1835.0,718,213.0,1908.0,1132.0,,,993,789.0,1908.0,364.0,,,1908.0,1110.0,,,,
105,734,1632.0,734,2079.0,1915.0,1850.0,,,997,1547.0,1915.0,484.0,,,1915.0,1487.0,,,,
106,736,1671.0,736,411.0,1956.0,1982.0,,,1001,1563.0,1956.0,2129.0,,,1956.0,1538.0,,,,
107,742,1859.0,742,1102.0,1990.0,2137.0,,,1012,2026.0,1990.0,1131.0,,,1990.0,1323.0,,,,
108,745,0.0,745,11.0,1995.0,403.0,,,1015,1829.0,1995.0,1304.0,,,1995.0,806.0,,,,
109,750,2083.0,750,763.0,2009.0,1523.0,,,1023,1944.0,2009.0,1536.0,,,2009.0,1530.0,,,,
110,773,531.0,773,309.0,2052.0,811.0,,,1029,1226.0,2052.0,705.0,,,2052.0,1314.0,,,,
111,775,1281.0,775,1551.0,2069.0,2123.0,,,1031,1843.0,2069.0,1236.0,,,2069.0,2002.0,,,,
112,778,765.0,778,761.0,2072.0,1973.0,,,1040,802.0,2072.0,1254.0,,,2072.0,1344.0,,,,
113,787,716.0,787,177.0,2075.0,1136.0,,,1042,1957.0,2075.0,222.0,,,2075.0,1846.0,,,,
114,797,2038.0,797,670.0,2085.0,123.0,,,1061,137.0,2085.0,2061.0,,,2085.0,435.0,,,,
115,798,1893.0,798,1496.0,2106.0,401.0,,,1079,15.0,2106.0,986.0,,,2106.0,1424.0,,,,
116,801,1417.0,801,1119.0,2121.0,1361.0,,,1087,2048.0,2121.0,2120.0,,,2121.0,1345.0,,,,
117,807,785.0,807,788.0,2142.0,1825.0,,,1119,478.0,2142.0,1018.0,,,2142.0,2125.0,,,,
118,810,1467.0,810,1140.0,1123.0,,,,1140,1922.0,1041.0,,,,777.0,,,,,
119,811,139.0,811,1633.0,179.0,,,,1143,464.0,97.0,,,,349.0,,,,,
120,824,637.0,824,24.0,826.0,,,,1150,283.0,1775.0,,,,1605.0,,,,,
121,826,642.0,826,1336.0,1759.0,,,,1153,1510.0,101.0,,,,1206.0,,,,,
122,827,1003.0,827,1045.0,892.0,,,,1171,100.0,533.0,,,,1502.0,,,,,
123,835,414.0,835,500.0,1799.0,,,,1195,960.0,1603.0,,,,594.0,,,,,
124,843,1397.0,843,652.0,1474.0,,,,1200,1647.0,585.0,,,,1238.0,,,,,
125,855,1172.0,855,1870.0,970.0,,,,1219,1835.0,1627.0,,,,1549.0,,,,,
126,862,172.0,862,233.0,2140.0,,,,1221,1632.0,257.0,,,,909.0,,,,,
127,865,331.0,865,1246.0,1264.0,,,,1238,311.0,1905.0,,,,850.0,,,,,
128,868,1321.0,868,975.0,1210.0,,,,1240,588.0,1860.0,,,,1055.0,,,,,
129,874,289.0,874,1669.0,2005.0,,,,1244,1866.0,1397.0,,,,2077.0,,,,,
130,880,1905.0,880,866.0,2046.0,,,,1246,78.0,87.0,,,,275.0,,,,,
131,888,1511.0,888,584.0,1896.0,,,,1247,1188.0,1855.0,,,,2074.0,,,,,
132,889,1711.0,889,271.0,160.0,,,,1255,2141.0,1634.0,,,,258.0,,,,,
133,891,1178.0,891,1451.0,630.0,,,,1257,1830.0,1656.0,,,,1268.0,,,,,
134,892,634.0,892,1961.0,1418.0,,,,1258,157.0,1952.0,,,,351.0,,,,,
135,893,1625.0,893,35.0,1945.0,,,,1260,1254.0,322.0,,,,1777.0,,,,,
136,902,1164.0,902,558.0,1152.0,,,,1274,1330.0,1235.0,,,,280.0,,,,,
137,903,817.0,903,612.0,1882.0,,,,1290,1207.0,129.0,,,,465.0,,,,,
138,914,146.0,914,445.0,1971.0,,,,1293,166.0,1032.0,,,,537.0,,,,,
139,919,1657.0,919,1875.0,1499.0,,,,1311,1126.0,1506.0,,,,1928.0,,,,,
140,923,935.0,923,684.0,290.0,,,,1316,1122.0,159.0,,,,1458.0,,,,,
141,928,1922.0,928,726.0,1497.0,,,,1317,242.0,100.0,,,,1856.0,,,,,
142,930,1624.0,930,952.0,1124.0,,,,1325,376.0,15.0,,,,746.0,,,,,
143,936,1771.0,936,1193.0,1468.0,,,,1339,1276.0,527.0,,,,623.0,,,,,
144,939,1237.0,939,48.0,1275.0,,,,1345,241.0,803.0,,,,748.0,,,,,
